title;bestsellers-rank
We;2038.0
Mushrooms;5718.0
Enlightenment Now : The Case for Reason, Science, Humanism, and Progress;11401.0
Affective Dimensions in Chemistry Education;12512.0
The Science Delusion : Freeing the Spirit of Enquiry (NEW EDITION);14602.0
The Age of Surveillance Capitalism : The Fight for a Human Future at the New Frontier of Power: Barack Obama's Books of 2019;14656.0
Quirkology : The Curious Science Of Everyday Lives;14804.0
Quiet : The power of introverts in a world that can't stop talking;14986.0
The Brain's Way of Healing : Stories of Remarkable Recoveries and Discoveries;15844.0
Enlightenment Now;16270.0
